,Bus,Hour,Slot,LMP
"('Bus1', 9, 1)",Bus1,9,1,102.266666666667
"('Bus2', 9, 1)",Bus2,9,1,102.266666666667
"('Bus5', 9, 1)",Bus5,9,1,102.266666666667
"('Bus4', 9, 1)",Bus4,9,1,102.266666666667
"('Bus3', 9, 1)",Bus3,9,1,102.266666666667
"('Bus1', 9, 2)",Bus1,9,2,102.266666666667
"('Bus2', 9, 2)",Bus2,9,2,102.266666666667
"('Bus5', 9, 2)",Bus5,9,2,102.266666666667
"('Bus4', 9, 2)",Bus4,9,2,102.266666666667
"('Bus3', 9, 2)",Bus3,9,2,102.266666666667
"('Bus1', 9, 3)",Bus1,9,3,102.266666666667
"('Bus2', 9, 3)",Bus2,9,3,102.266666666667
"('Bus5', 9, 3)",Bus5,9,3,102.266666666667
"('Bus4', 9, 3)",Bus4,9,3,102.266666666667
"('Bus3', 9, 3)",Bus3,9,3,102.266666666667
"('Bus1', 9, 4)",Bus1,9,4,102.266666666667
"('Bus2', 9, 4)",Bus2,9,4,102.266666666667
"('Bus5', 9, 4)",Bus5,9,4,102.266666666667
"('Bus4', 9, 4)",Bus4,9,4,102.266666666667
"('Bus3', 9, 4)",Bus3,9,4,102.266666666667
"('Bus1', 9, 5)",Bus1,9,5,102.266666666667
"('Bus2', 9, 5)",Bus2,9,5,102.266666666667
"('Bus5', 9, 5)",Bus5,9,5,102.266666666667
"('Bus4', 9, 5)",Bus4,9,5,102.266666666667
"('Bus3', 9, 5)",Bus3,9,5,102.266666666667
"('Bus1', 9, 6)",Bus1,9,6,102.266666666667
"('Bus2', 9, 6)",Bus2,9,6,102.266666666667
"('Bus5', 9, 6)",Bus5,9,6,102.266666666667
"('Bus4', 9, 6)",Bus4,9,6,102.266666666667
"('Bus3', 9, 6)",Bus3,9,6,102.266666666667
