,Bus,Hour,Slot,LMP
"('Bus1', 21, 1)",Bus1,21,1,102.266666666667
"('Bus2', 21, 1)",Bus2,21,1,102.266666666667
"('Bus5', 21, 1)",Bus5,21,1,102.266666666667
"('Bus4', 21, 1)",Bus4,21,1,102.266666666667
"('Bus3', 21, 1)",Bus3,21,1,102.266666666667
"('Bus1', 21, 2)",Bus1,21,2,102.266666666667
"('Bus2', 21, 2)",Bus2,21,2,102.266666666667
"('Bus5', 21, 2)",Bus5,21,2,102.266666666667
"('Bus4', 21, 2)",Bus4,21,2,102.266666666667
"('Bus3', 21, 2)",Bus3,21,2,102.266666666667
"('Bus1', 21, 3)",Bus1,21,3,102.266666666667
"('Bus2', 21, 3)",Bus2,21,3,102.266666666667
"('Bus5', 21, 3)",Bus5,21,3,102.266666666667
"('Bus4', 21, 3)",Bus4,21,3,102.266666666667
"('Bus3', 21, 3)",Bus3,21,3,102.266666666667
"('Bus1', 21, 4)",Bus1,21,4,102.266666666667
"('Bus2', 21, 4)",Bus2,21,4,102.266666666667
"('Bus5', 21, 4)",Bus5,21,4,102.266666666667
"('Bus4', 21, 4)",Bus4,21,4,102.266666666667
"('Bus3', 21, 4)",Bus3,21,4,102.266666666667
"('Bus1', 21, 5)",Bus1,21,5,102.266666666667
"('Bus2', 21, 5)",Bus2,21,5,102.266666666667
"('Bus5', 21, 5)",Bus5,21,5,102.266666666667
"('Bus4', 21, 5)",Bus4,21,5,102.266666666667
"('Bus3', 21, 5)",Bus3,21,5,102.266666666667
"('Bus1', 21, 6)",Bus1,21,6,102.266666666667
"('Bus2', 21, 6)",Bus2,21,6,102.266666666667
"('Bus5', 21, 6)",Bus5,21,6,102.266666666667
"('Bus4', 21, 6)",Bus4,21,6,102.266666666667
"('Bus3', 21, 6)",Bus3,21,6,102.266666666667
