,Bus,Hour,Slot,LMP
"('Bus1', 13, 1)",Bus1,13,1,102.266666666667
"('Bus2', 13, 1)",Bus2,13,1,102.266666666667
"('Bus5', 13, 1)",Bus5,13,1,102.266666666667
"('Bus4', 13, 1)",Bus4,13,1,102.266666666667
"('Bus3', 13, 1)",Bus3,13,1,102.266666666667
"('Bus1', 13, 2)",Bus1,13,2,102.266666666667
"('Bus2', 13, 2)",Bus2,13,2,102.266666666667
"('Bus5', 13, 2)",Bus5,13,2,102.266666666667
"('Bus4', 13, 2)",Bus4,13,2,102.266666666667
"('Bus3', 13, 2)",Bus3,13,2,102.266666666667
"('Bus1', 13, 3)",Bus1,13,3,102.266666666667
"('Bus2', 13, 3)",Bus2,13,3,102.266666666667
"('Bus5', 13, 3)",Bus5,13,3,102.266666666667
"('Bus4', 13, 3)",Bus4,13,3,102.266666666667
"('Bus3', 13, 3)",Bus3,13,3,102.266666666667
"('Bus1', 13, 4)",Bus1,13,4,102.266666666667
"('Bus2', 13, 4)",Bus2,13,4,102.266666666667
"('Bus5', 13, 4)",Bus5,13,4,102.266666666667
"('Bus4', 13, 4)",Bus4,13,4,102.266666666667
"('Bus3', 13, 4)",Bus3,13,4,102.266666666667
"('Bus1', 13, 5)",Bus1,13,5,102.266666666667
"('Bus2', 13, 5)",Bus2,13,5,102.266666666667
"('Bus5', 13, 5)",Bus5,13,5,102.266666666667
"('Bus4', 13, 5)",Bus4,13,5,102.266666666667
"('Bus3', 13, 5)",Bus3,13,5,102.266666666667
"('Bus1', 13, 6)",Bus1,13,6,102.266666666667
"('Bus2', 13, 6)",Bus2,13,6,102.266666666667
"('Bus5', 13, 6)",Bus5,13,6,102.266666666667
"('Bus4', 13, 6)",Bus4,13,6,102.266666666667
"('Bus3', 13, 6)",Bus3,13,6,102.266666666667
