,Bus,Hour,Slot,LMP
"('Bus1', 16, 1)",Bus1,16,1,102.266666666667
"('Bus2', 16, 1)",Bus2,16,1,102.266666666667
"('Bus5', 16, 1)",Bus5,16,1,102.266666666667
"('Bus4', 16, 1)",Bus4,16,1,102.266666666667
"('Bus3', 16, 1)",Bus3,16,1,102.266666666667
"('Bus1', 16, 2)",Bus1,16,2,65.0
"('Bus2', 16, 2)",Bus2,16,2,65.0
"('Bus5', 16, 2)",Bus5,16,2,65.0
"('Bus4', 16, 2)",Bus4,16,2,65.0
"('Bus3', 16, 2)",Bus3,16,2,65.0
"('Bus1', 16, 3)",Bus1,16,3,65.0
"('Bus2', 16, 3)",Bus2,16,3,65.0
"('Bus5', 16, 3)",Bus5,16,3,65.0
"('Bus4', 16, 3)",Bus4,16,3,65.0
"('Bus3', 16, 3)",Bus3,16,3,65.0
"('Bus1', 16, 4)",Bus1,16,4,102.266666666667
"('Bus2', 16, 4)",Bus2,16,4,102.266666666667
"('Bus5', 16, 4)",Bus5,16,4,102.266666666667
"('Bus4', 16, 4)",Bus4,16,4,102.266666666667
"('Bus3', 16, 4)",Bus3,16,4,102.266666666667
"('Bus1', 16, 5)",Bus1,16,5,102.266666666667
"('Bus2', 16, 5)",Bus2,16,5,102.266666666667
"('Bus5', 16, 5)",Bus5,16,5,102.266666666667
"('Bus4', 16, 5)",Bus4,16,5,102.266666666667
"('Bus3', 16, 5)",Bus3,16,5,102.266666666667
"('Bus1', 16, 6)",Bus1,16,6,102.266666666667
"('Bus2', 16, 6)",Bus2,16,6,102.266666666667
"('Bus5', 16, 6)",Bus5,16,6,102.266666666667
"('Bus4', 16, 6)",Bus4,16,6,102.266666666667
"('Bus3', 16, 6)",Bus3,16,6,102.266666666667
