,Bus,Hour,Slot,LMP
"('Bus1', 20, 1)",Bus1,20,1,135.2
"('Bus2', 20, 1)",Bus2,20,1,135.2
"('Bus5', 20, 1)",Bus5,20,1,135.2
"('Bus4', 20, 1)",Bus4,20,1,135.2
"('Bus3', 20, 1)",Bus3,20,1,135.2
"('Bus1', 20, 2)",Bus1,20,2,135.2
"('Bus2', 20, 2)",Bus2,20,2,135.2
"('Bus5', 20, 2)",Bus5,20,2,135.2
"('Bus4', 20, 2)",Bus4,20,2,135.2
"('Bus3', 20, 2)",Bus3,20,2,135.2
"('Bus1', 20, 3)",Bus1,20,3,135.2
"('Bus2', 20, 3)",Bus2,20,3,135.2
"('Bus5', 20, 3)",Bus5,20,3,135.2
"('Bus4', 20, 3)",Bus4,20,3,135.2
"('Bus3', 20, 3)",Bus3,20,3,135.2
"('Bus1', 20, 4)",Bus1,20,4,135.2
"('Bus2', 20, 4)",Bus2,20,4,135.2
"('Bus5', 20, 4)",Bus5,20,4,135.2
"('Bus4', 20, 4)",Bus4,20,4,135.2
"('Bus3', 20, 4)",Bus3,20,4,135.2
"('Bus1', 20, 5)",Bus1,20,5,135.2
"('Bus2', 20, 5)",Bus2,20,5,135.2
"('Bus5', 20, 5)",Bus5,20,5,135.2
"('Bus4', 20, 5)",Bus4,20,5,135.2
"('Bus3', 20, 5)",Bus3,20,5,135.2
"('Bus1', 20, 6)",Bus1,20,6,102.266666666667
"('Bus2', 20, 6)",Bus2,20,6,102.266666666667
"('Bus5', 20, 6)",Bus5,20,6,102.266666666667
"('Bus4', 20, 6)",Bus4,20,6,102.266666666667
"('Bus3', 20, 6)",Bus3,20,6,102.266666666667
