,Bus,Hour,Slot,LMP
"('Bus1', 11, 1)",Bus1,11,1,102.266666666667
"('Bus2', 11, 1)",Bus2,11,1,102.266666666667
"('Bus5', 11, 1)",Bus5,11,1,102.266666666667
"('Bus4', 11, 1)",Bus4,11,1,102.266666666667
"('Bus3', 11, 1)",Bus3,11,1,102.266666666667
"('Bus1', 11, 2)",Bus1,11,2,102.266666666667
"('Bus2', 11, 2)",Bus2,11,2,102.266666666667
"('Bus5', 11, 2)",Bus5,11,2,102.266666666667
"('Bus4', 11, 2)",Bus4,11,2,102.266666666667
"('Bus3', 11, 2)",Bus3,11,2,102.266666666667
"('Bus1', 11, 3)",Bus1,11,3,102.266666666667
"('Bus2', 11, 3)",Bus2,11,3,102.266666666667
"('Bus5', 11, 3)",Bus5,11,3,102.266666666667
"('Bus4', 11, 3)",Bus4,11,3,102.266666666667
"('Bus3', 11, 3)",Bus3,11,3,102.266666666667
"('Bus1', 11, 4)",Bus1,11,4,102.266666666667
"('Bus2', 11, 4)",Bus2,11,4,102.266666666667
"('Bus5', 11, 4)",Bus5,11,4,102.266666666667
"('Bus4', 11, 4)",Bus4,11,4,102.266666666667
"('Bus3', 11, 4)",Bus3,11,4,102.266666666667
"('Bus1', 11, 5)",Bus1,11,5,102.266666666667
"('Bus2', 11, 5)",Bus2,11,5,102.266666666667
"('Bus5', 11, 5)",Bus5,11,5,102.266666666667
"('Bus4', 11, 5)",Bus4,11,5,102.266666666667
"('Bus3', 11, 5)",Bus3,11,5,102.266666666667
"('Bus1', 11, 6)",Bus1,11,6,102.266666666667
"('Bus2', 11, 6)",Bus2,11,6,102.266666666667
"('Bus5', 11, 6)",Bus5,11,6,102.266666666667
"('Bus4', 11, 6)",Bus4,11,6,102.266666666667
"('Bus3', 11, 6)",Bus3,11,6,102.266666666667
