,Bus,Hour,Slot,LMP
"('Bus1', 12, 1)",Bus1,12,1,102.266666666667
"('Bus2', 12, 1)",Bus2,12,1,102.266666666667
"('Bus5', 12, 1)",Bus5,12,1,102.266666666667
"('Bus4', 12, 1)",Bus4,12,1,102.266666666667
"('Bus3', 12, 1)",Bus3,12,1,102.266666666667
"('Bus1', 12, 2)",Bus1,12,2,102.266666666667
"('Bus2', 12, 2)",Bus2,12,2,102.266666666667
"('Bus5', 12, 2)",Bus5,12,2,102.266666666667
"('Bus4', 12, 2)",Bus4,12,2,102.266666666667
"('Bus3', 12, 2)",Bus3,12,2,102.266666666667
"('Bus1', 12, 3)",Bus1,12,3,102.266666666667
"('Bus2', 12, 3)",Bus2,12,3,102.266666666667
"('Bus5', 12, 3)",Bus5,12,3,102.266666666667
"('Bus4', 12, 3)",Bus4,12,3,102.266666666667
"('Bus3', 12, 3)",Bus3,12,3,102.266666666667
"('Bus1', 12, 4)",Bus1,12,4,102.266666666667
"('Bus2', 12, 4)",Bus2,12,4,102.266666666667
"('Bus5', 12, 4)",Bus5,12,4,102.266666666667
"('Bus4', 12, 4)",Bus4,12,4,102.266666666667
"('Bus3', 12, 4)",Bus3,12,4,102.266666666667
"('Bus1', 12, 5)",Bus1,12,5,65.0
"('Bus2', 12, 5)",Bus2,12,5,65.0
"('Bus5', 12, 5)",Bus5,12,5,65.0
"('Bus4', 12, 5)",Bus4,12,5,65.0
"('Bus3', 12, 5)",Bus3,12,5,65.0
"('Bus1', 12, 6)",Bus1,12,6,102.266666666667
"('Bus2', 12, 6)",Bus2,12,6,102.266666666667
"('Bus5', 12, 6)",Bus5,12,6,102.266666666667
"('Bus4', 12, 6)",Bus4,12,6,102.266666666667
"('Bus3', 12, 6)",Bus3,12,6,102.266666666667
