,Bus,Hour,Slot,LMP
"('Bus1', 18, 1)",Bus1,18,1,135.2
"('Bus2', 18, 1)",Bus2,18,1,135.2
"('Bus5', 18, 1)",Bus5,18,1,135.2
"('Bus4', 18, 1)",Bus4,18,1,135.2
"('Bus3', 18, 1)",Bus3,18,1,135.2
"('Bus1', 18, 2)",Bus1,18,2,135.2
"('Bus2', 18, 2)",Bus2,18,2,135.2
"('Bus5', 18, 2)",Bus5,18,2,135.2
"('Bus4', 18, 2)",Bus4,18,2,135.2
"('Bus3', 18, 2)",Bus3,18,2,135.2
"('Bus1', 18, 3)",Bus1,18,3,135.2
"('Bus2', 18, 3)",Bus2,18,3,135.2
"('Bus5', 18, 3)",Bus5,18,3,135.2
"('Bus4', 18, 3)",Bus4,18,3,135.2
"('Bus3', 18, 3)",Bus3,18,3,135.2
"('Bus1', 18, 4)",Bus1,18,4,135.2
"('Bus2', 18, 4)",Bus2,18,4,135.2
"('Bus5', 18, 4)",Bus5,18,4,135.2
"('Bus4', 18, 4)",Bus4,18,4,135.2
"('Bus3', 18, 4)",Bus3,18,4,135.2
"('Bus1', 18, 5)",Bus1,18,5,135.2
"('Bus2', 18, 5)",Bus2,18,5,135.2
"('Bus5', 18, 5)",Bus5,18,5,135.2
"('Bus4', 18, 5)",Bus4,18,5,135.2
"('Bus3', 18, 5)",Bus3,18,5,135.2
"('Bus1', 18, 6)",Bus1,18,6,135.2
"('Bus2', 18, 6)",Bus2,18,6,135.2
"('Bus5', 18, 6)",Bus5,18,6,135.2
"('Bus4', 18, 6)",Bus4,18,6,135.2
"('Bus3', 18, 6)",Bus3,18,6,135.2
