,Bus,Hour,Slot,LMP
"('Bus1', 10, 1)",Bus1,10,1,102.266666666667
"('Bus2', 10, 1)",Bus2,10,1,102.266666666667
"('Bus5', 10, 1)",Bus5,10,1,102.266666666667
"('Bus4', 10, 1)",Bus4,10,1,102.266666666667
"('Bus3', 10, 1)",Bus3,10,1,102.266666666667
"('Bus1', 10, 2)",Bus1,10,2,102.266666666667
"('Bus2', 10, 2)",Bus2,10,2,102.266666666667
"('Bus5', 10, 2)",Bus5,10,2,102.266666666667
"('Bus4', 10, 2)",Bus4,10,2,102.266666666667
"('Bus3', 10, 2)",Bus3,10,2,102.266666666667
"('Bus1', 10, 3)",Bus1,10,3,102.266666666667
"('Bus2', 10, 3)",Bus2,10,3,102.266666666667
"('Bus5', 10, 3)",Bus5,10,3,102.266666666667
"('Bus4', 10, 3)",Bus4,10,3,102.266666666667
"('Bus3', 10, 3)",Bus3,10,3,102.266666666667
"('Bus1', 10, 4)",Bus1,10,4,102.266666666667
"('Bus2', 10, 4)",Bus2,10,4,102.266666666667
"('Bus5', 10, 4)",Bus5,10,4,102.266666666667
"('Bus4', 10, 4)",Bus4,10,4,102.266666666667
"('Bus3', 10, 4)",Bus3,10,4,102.266666666667
"('Bus1', 10, 5)",Bus1,10,5,102.266666666667
"('Bus2', 10, 5)",Bus2,10,5,102.266666666667
"('Bus5', 10, 5)",Bus5,10,5,102.266666666667
"('Bus4', 10, 5)",Bus4,10,5,102.266666666667
"('Bus3', 10, 5)",Bus3,10,5,102.266666666667
"('Bus1', 10, 6)",Bus1,10,6,102.266666666667
"('Bus2', 10, 6)",Bus2,10,6,102.266666666667
"('Bus5', 10, 6)",Bus5,10,6,102.266666666667
"('Bus4', 10, 6)",Bus4,10,6,102.266666666667
"('Bus3', 10, 6)",Bus3,10,6,102.266666666667
