,Bus,Hour,Slot,LMP
"('Bus1', 15, 1)",Bus1,15,1,102.266666666667
"('Bus2', 15, 1)",Bus2,15,1,102.266666666667
"('Bus5', 15, 1)",Bus5,15,1,102.266666666667
"('Bus4', 15, 1)",Bus4,15,1,102.266666666667
"('Bus3', 15, 1)",Bus3,15,1,102.266666666667
"('Bus1', 15, 2)",Bus1,15,2,102.266666666667
"('Bus2', 15, 2)",Bus2,15,2,102.266666666667
"('Bus5', 15, 2)",Bus5,15,2,102.266666666667
"('Bus4', 15, 2)",Bus4,15,2,102.266666666667
"('Bus3', 15, 2)",Bus3,15,2,102.266666666667
"('Bus1', 15, 3)",Bus1,15,3,102.266666666667
"('Bus2', 15, 3)",Bus2,15,3,102.266666666667
"('Bus5', 15, 3)",Bus5,15,3,102.266666666667
"('Bus4', 15, 3)",Bus4,15,3,102.266666666667
"('Bus3', 15, 3)",Bus3,15,3,102.266666666667
"('Bus1', 15, 4)",Bus1,15,4,65.0
"('Bus2', 15, 4)",Bus2,15,4,65.0
"('Bus5', 15, 4)",Bus5,15,4,65.0
"('Bus4', 15, 4)",Bus4,15,4,65.0
"('Bus3', 15, 4)",Bus3,15,4,65.0
"('Bus1', 15, 5)",Bus1,15,5,65.0
"('Bus2', 15, 5)",Bus2,15,5,65.0
"('Bus5', 15, 5)",Bus5,15,5,65.0
"('Bus4', 15, 5)",Bus4,15,5,65.0
"('Bus3', 15, 5)",Bus3,15,5,65.0
"('Bus1', 15, 6)",Bus1,15,6,65.0
"('Bus2', 15, 6)",Bus2,15,6,65.0
"('Bus5', 15, 6)",Bus5,15,6,65.0
"('Bus4', 15, 6)",Bus4,15,6,65.0
"('Bus3', 15, 6)",Bus3,15,6,65.0
