,Bus,Hour,Slot,LMP
"('Bus1', 5, 1)",Bus1,5,1,65.0
"('Bus2', 5, 1)",Bus2,5,1,65.0
"('Bus5', 5, 1)",Bus5,5,1,65.0
"('Bus4', 5, 1)",Bus4,5,1,65.0
"('Bus3', 5, 1)",Bus3,5,1,65.0
"('Bus1', 5, 2)",Bus1,5,2,65.0
"('Bus2', 5, 2)",Bus2,5,2,65.0
"('Bus5', 5, 2)",Bus5,5,2,65.0
"('Bus4', 5, 2)",Bus4,5,2,65.0
"('Bus3', 5, 2)",Bus3,5,2,65.0
"('Bus1', 5, 3)",Bus1,5,3,65.0
"('Bus2', 5, 3)",Bus2,5,3,65.0
"('Bus5', 5, 3)",Bus5,5,3,65.0
"('Bus4', 5, 3)",Bus4,5,3,65.0
"('Bus3', 5, 3)",Bus3,5,3,65.0
"('Bus1', 5, 4)",Bus1,5,4,65.0
"('Bus2', 5, 4)",Bus2,5,4,65.0
"('Bus5', 5, 4)",Bus5,5,4,65.0
"('Bus4', 5, 4)",Bus4,5,4,65.0
"('Bus3', 5, 4)",Bus3,5,4,65.0
"('Bus1', 5, 5)",Bus1,5,5,65.0
"('Bus2', 5, 5)",Bus2,5,5,65.0
"('Bus5', 5, 5)",Bus5,5,5,65.0
"('Bus4', 5, 5)",Bus4,5,5,65.0
"('Bus3', 5, 5)",Bus3,5,5,65.0
"('Bus1', 5, 6)",Bus1,5,6,65.0
"('Bus2', 5, 6)",Bus2,5,6,65.0
"('Bus5', 5, 6)",Bus5,5,6,65.0
"('Bus4', 5, 6)",Bus4,5,6,65.0
"('Bus3', 5, 6)",Bus3,5,6,65.0
