,Bus,Hour,Slot,LMP
"('Bus1', 17, 1)",Bus1,17,1,102.266666666667
"('Bus2', 17, 1)",Bus2,17,1,102.266666666667
"('Bus5', 17, 1)",Bus5,17,1,102.266666666667
"('Bus4', 17, 1)",Bus4,17,1,102.266666666667
"('Bus3', 17, 1)",Bus3,17,1,102.266666666667
"('Bus1', 17, 2)",Bus1,17,2,102.266666666667
"('Bus2', 17, 2)",Bus2,17,2,102.266666666667
"('Bus5', 17, 2)",Bus5,17,2,102.266666666667
"('Bus4', 17, 2)",Bus4,17,2,102.266666666667
"('Bus3', 17, 2)",Bus3,17,2,102.266666666667
"('Bus1', 17, 3)",Bus1,17,3,102.266666666667
"('Bus2', 17, 3)",Bus2,17,3,102.266666666667
"('Bus5', 17, 3)",Bus5,17,3,102.266666666667
"('Bus4', 17, 3)",Bus4,17,3,102.266666666667
"('Bus3', 17, 3)",Bus3,17,3,102.266666666667
"('Bus1', 17, 4)",Bus1,17,4,102.266666666667
"('Bus2', 17, 4)",Bus2,17,4,102.266666666667
"('Bus5', 17, 4)",Bus5,17,4,102.266666666667
"('Bus4', 17, 4)",Bus4,17,4,102.266666666667
"('Bus3', 17, 4)",Bus3,17,4,102.266666666667
"('Bus1', 17, 5)",Bus1,17,5,102.266666666667
"('Bus2', 17, 5)",Bus2,17,5,102.266666666667
"('Bus5', 17, 5)",Bus5,17,5,102.266666666667
"('Bus4', 17, 5)",Bus4,17,5,102.266666666667
"('Bus3', 17, 5)",Bus3,17,5,102.266666666667
"('Bus1', 17, 6)",Bus1,17,6,102.266666666667
"('Bus2', 17, 6)",Bus2,17,6,102.266666666667
"('Bus5', 17, 6)",Bus5,17,6,102.266666666667
"('Bus4', 17, 6)",Bus4,17,6,102.266666666667
"('Bus3', 17, 6)",Bus3,17,6,102.266666666667
