,Bus,Hour,Slot,LMP
"('Bus1', 2, 1)",Bus1,2,1,65.0
"('Bus2', 2, 1)",Bus2,2,1,65.0
"('Bus5', 2, 1)",Bus5,2,1,65.0
"('Bus4', 2, 1)",Bus4,2,1,65.0
"('Bus3', 2, 1)",Bus3,2,1,65.0
"('Bus1', 2, 2)",Bus1,2,2,65.0
"('Bus2', 2, 2)",Bus2,2,2,65.0
"('Bus5', 2, 2)",Bus5,2,2,65.0
"('Bus4', 2, 2)",Bus4,2,2,65.0
"('Bus3', 2, 2)",Bus3,2,2,65.0
"('Bus1', 2, 3)",Bus1,2,3,65.0
"('Bus2', 2, 3)",Bus2,2,3,65.0
"('Bus5', 2, 3)",Bus5,2,3,65.0
"('Bus4', 2, 3)",Bus4,2,3,65.0
"('Bus3', 2, 3)",Bus3,2,3,65.0
"('Bus1', 2, 4)",Bus1,2,4,65.0
"('Bus2', 2, 4)",Bus2,2,4,65.0
"('Bus5', 2, 4)",Bus5,2,4,65.0
"('Bus4', 2, 4)",Bus4,2,4,65.0
"('Bus3', 2, 4)",Bus3,2,4,65.0
"('Bus1', 2, 5)",Bus1,2,5,65.0
"('Bus2', 2, 5)",Bus2,2,5,65.0
"('Bus5', 2, 5)",Bus5,2,5,65.0
"('Bus4', 2, 5)",Bus4,2,5,65.0
"('Bus3', 2, 5)",Bus3,2,5,65.0
"('Bus1', 2, 6)",Bus1,2,6,65.0
"('Bus2', 2, 6)",Bus2,2,6,65.0
"('Bus5', 2, 6)",Bus5,2,6,65.0
"('Bus4', 2, 6)",Bus4,2,6,65.0
"('Bus3', 2, 6)",Bus3,2,6,65.0
