,Bus,Hour,Slot,LMP
"('Bus1', 6, 1)",Bus1,6,1,65.0
"('Bus2', 6, 1)",Bus2,6,1,65.0
"('Bus5', 6, 1)",Bus5,6,1,65.0
"('Bus4', 6, 1)",Bus4,6,1,65.0
"('Bus3', 6, 1)",Bus3,6,1,65.0
"('Bus1', 6, 2)",Bus1,6,2,65.0
"('Bus2', 6, 2)",Bus2,6,2,65.0
"('Bus5', 6, 2)",Bus5,6,2,65.0
"('Bus4', 6, 2)",Bus4,6,2,65.0
"('Bus3', 6, 2)",Bus3,6,2,65.0
"('Bus1', 6, 3)",Bus1,6,3,65.0
"('Bus2', 6, 3)",Bus2,6,3,65.0
"('Bus5', 6, 3)",Bus5,6,3,65.0
"('Bus4', 6, 3)",Bus4,6,3,65.0
"('Bus3', 6, 3)",Bus3,6,3,65.0
"('Bus1', 6, 4)",Bus1,6,4,65.0
"('Bus2', 6, 4)",Bus2,6,4,65.0
"('Bus5', 6, 4)",Bus5,6,4,65.0
"('Bus4', 6, 4)",Bus4,6,4,65.0
"('Bus3', 6, 4)",Bus3,6,4,65.0
"('Bus1', 6, 5)",Bus1,6,5,65.0
"('Bus2', 6, 5)",Bus2,6,5,65.0
"('Bus5', 6, 5)",Bus5,6,5,65.0
"('Bus4', 6, 5)",Bus4,6,5,65.0
"('Bus3', 6, 5)",Bus3,6,5,65.0
"('Bus1', 6, 6)",Bus1,6,6,65.0
"('Bus2', 6, 6)",Bus2,6,6,65.0
"('Bus5', 6, 6)",Bus5,6,6,65.0
"('Bus4', 6, 6)",Bus4,6,6,65.0
"('Bus3', 6, 6)",Bus3,6,6,65.0
