,Bus,Hour,Slot,LMP
"('Bus1', 22, 1)",Bus1,22,1,65.0
"('Bus2', 22, 1)",Bus2,22,1,65.0
"('Bus5', 22, 1)",Bus5,22,1,65.0
"('Bus4', 22, 1)",Bus4,22,1,65.0
"('Bus3', 22, 1)",Bus3,22,1,65.0
"('Bus1', 22, 2)",Bus1,22,2,65.0
"('Bus2', 22, 2)",Bus2,22,2,65.0
"('Bus5', 22, 2)",Bus5,22,2,65.0
"('Bus4', 22, 2)",Bus4,22,2,65.0
"('Bus3', 22, 2)",Bus3,22,2,65.0
"('Bus1', 22, 3)",Bus1,22,3,65.0
"('Bus2', 22, 3)",Bus2,22,3,65.0
"('Bus5', 22, 3)",Bus5,22,3,65.0
"('Bus4', 22, 3)",Bus4,22,3,65.0
"('Bus3', 22, 3)",Bus3,22,3,65.0
"('Bus1', 22, 4)",Bus1,22,4,102.266666666667
"('Bus2', 22, 4)",Bus2,22,4,102.266666666667
"('Bus5', 22, 4)",Bus5,22,4,102.266666666667
"('Bus4', 22, 4)",Bus4,22,4,102.266666666667
"('Bus3', 22, 4)",Bus3,22,4,102.266666666667
"('Bus1', 22, 5)",Bus1,22,5,102.266666666667
"('Bus2', 22, 5)",Bus2,22,5,102.266666666667
"('Bus5', 22, 5)",Bus5,22,5,102.266666666667
"('Bus4', 22, 5)",Bus4,22,5,102.266666666667
"('Bus3', 22, 5)",Bus3,22,5,102.266666666667
"('Bus1', 22, 6)",Bus1,22,6,65.0
"('Bus2', 22, 6)",Bus2,22,6,65.0
"('Bus5', 22, 6)",Bus5,22,6,65.0
"('Bus4', 22, 6)",Bus4,22,6,65.0
"('Bus3', 22, 6)",Bus3,22,6,65.0
