,Bus,Hour,Slot,LMP
"('Bus1', 3, 1)",Bus1,3,1,65.0
"('Bus2', 3, 1)",Bus2,3,1,65.0
"('Bus5', 3, 1)",Bus5,3,1,65.0
"('Bus4', 3, 1)",Bus4,3,1,65.0
"('Bus3', 3, 1)",Bus3,3,1,65.0
"('Bus1', 3, 2)",Bus1,3,2,65.0
"('Bus2', 3, 2)",Bus2,3,2,65.0
"('Bus5', 3, 2)",Bus5,3,2,65.0
"('Bus4', 3, 2)",Bus4,3,2,65.0
"('Bus3', 3, 2)",Bus3,3,2,65.0
"('Bus1', 3, 3)",Bus1,3,3,65.0
"('Bus2', 3, 3)",Bus2,3,3,65.0
"('Bus5', 3, 3)",Bus5,3,3,65.0
"('Bus4', 3, 3)",Bus4,3,3,65.0
"('Bus3', 3, 3)",Bus3,3,3,65.0
"('Bus1', 3, 4)",Bus1,3,4,65.0
"('Bus2', 3, 4)",Bus2,3,4,65.0
"('Bus5', 3, 4)",Bus5,3,4,65.0
"('Bus4', 3, 4)",Bus4,3,4,65.0
"('Bus3', 3, 4)",Bus3,3,4,65.0
"('Bus1', 3, 5)",Bus1,3,5,65.0
"('Bus2', 3, 5)",Bus2,3,5,65.0
"('Bus5', 3, 5)",Bus5,3,5,65.0
"('Bus4', 3, 5)",Bus4,3,5,65.0
"('Bus3', 3, 5)",Bus3,3,5,65.0
"('Bus1', 3, 6)",Bus1,3,6,65.0
"('Bus2', 3, 6)",Bus2,3,6,65.0
"('Bus5', 3, 6)",Bus5,3,6,65.0
"('Bus4', 3, 6)",Bus4,3,6,65.0
"('Bus3', 3, 6)",Bus3,3,6,65.0
